root,1,650,101092
cellular organisms,131567,0,97930
Bacteria,2,1783,97925
Terrabacteria group,1783272,0,96194
Firmicutes,1239,0,26372
Bacilli,91061,225,26353
Bacillales,1385,102,3725
Staphylococcaceae,90964,0,3628
Staphylococcus,1279,212,3623
Staphylococcus epidermidis,1282,2082,2082
Staphylococcus haemolyticus,1283,1066,1066
Staphylococcus lugdunensis,28035,263,263
Lactobacillales,186826,0,22475
Enterococcaceae,81852,0,22472
Enterococcus,1350,229,22403
Enterococcus faecalis,1351,22174,22174
Actinobacteria,201174,0,69792
Actinomycetia,1760,0,69792
Bifidobacteriales,85004,0,69453
Bifidobacteriaceae,31953,0,69453
Bifidobacterium,1678,5550,69453
Bifidobacterium bifidum,1681,11144,11144
Bifidobacterium breve,1685,52759,52759
Corynebacteriales,85007,0,338
Corynebacteriaceae,1653,0,336
Corynebacterium,1716,0,336
Corynebacterium kroppenstedtii,161879,336,336
