root,1,38,63706
cellular organisms,131567,0,63668
Bacteria,2,2634,63668
Terrabacteria group,1783272,0,61140
Firmicutes,1239,0,8191
Bacilli,91061,931,8159
Lactobacillales,186826,0,7645
Streptococcaceae,1300,0,1122
Lactococcus,1357,1113,1113
Enterococcaceae,81852,0,6476
Enterococcus,1350,0,6474
Enterococcus faecalis,1351,6115,6115
Actinobacteria,201174,0,52883
Actinobacteria,1760,0,52880
Bifidobacteriales,85004,0,52875
Bifidobacteriaceae,31953,0,52875
Bifidobacterium,1678,3981,52875
Bifidobacterium bifidum,1681,8257,8257
Bifidobacterium breve,1685,40637,40637
