root,1,78,34920
Viruses,10239,0,1
Duplodnaviria,2731341,0,1
Heunggongvirae,2731360,0,1
Uroviricota,2731618,0,1
Caudoviricetes,2731619,0,1
Caudovirales,28883,0,1
Siphoviridae,10699,0,1
unclassified Siphoviridae,196894,0,1
Siphoviridae sp.,2170413,1,1
cellular organisms,131567,0,33780
Bacteria,2,1258,33780
Proteobacteria,1224,0,114
Gammaproteobacteria,1236,0,112
Enterobacterales,91347,0,112
Enterobacteriaceae,543,24,112
Escherichia,561,0,85
Escherichia coli,562,85,85
Shigella,620,0,3
Shigella flexneri,623,1,1
Shigella sonnei,624,2,2
Betaproteobacteria,28216,0,2
Burkholderiales,80840,0,2
Burkholderiaceae,119060,0,2
Ralstonia,48736,1,1
Paraburkholderia,1822464,0,1
Paraburkholderia tropica,92647,1,1
Terrabacteria group,1783272,13,32408
Firmicutes,1239,0,183
Bacilli,91061,1,178
Bacillales,1385,0,22
Staphylococcaceae,90964,0,22
Staphylococcus,1279,1,22
Staphylococcus epidermidis,1282,3,3
Staphylococcus haemolyticus,1283,16,16
Staphylococcus lugdunensis,28035,2,2
Lactobacillales,186826,9,155
Streptococcaceae,1300,0,95
Streptococcus,1301,2,2
Lactococcus,1357,15,93
Lactococcus lactis,1358,24,24
Lactococcus garvieae,1363,53,53
Lactococcus piscium,1364,1,1
Lactobacillaceae,33958,0,1
Lacticaseibacillus,2759736,0,1
Lacticaseibacillus paracasei,1597,1,1
Enterococcaceae,81852,0,50
Enterococcus,1350,2,50
Enterococcus faecalis,1351,48,48
Negativicutes,909932,0,5
Veillonellales,1843489,0,5
Veillonellaceae,31977,0,5
Veillonella,29465,0,5
Veillonella parvula,29466,5,5
Actinobacteria,201174,0,32212
Actinomycetia,1760,1,32212
Bifidobacteriales,85004,0,32211
Bifidobacteriaceae,31953,0,32211
Bifidobacterium,1678,3433,32211
Bifidobacterium bifidum,1681,1278,1278
Bifidobacterium angulatum,1683,1,1
Bifidobacterium breve,1685,27456,27456
Bifidobacterium catenulatum,1686,1,1
Bifidobacterium pseudocatenulatum,28026,1,1
Bifidobacterium subtile,77635,1,1
Bifidobacterium longum,216816,39,39
Bifidobacterium imperatoris,2020965,1,1
