root,1,316,90376
cellular organisms,131567,0,90060
Bacteria,2,1408,90060
Proteobacteria,1224,0,66398
Gammaproteobacteria,1236,121,66373
Enterobacterales,91347,215,66252
Enterobacteriaceae,543,3604,65925
Citrobacter,544,0,156
Citrobacter freundii complex,1344959,98,98
Enterobacter,547,39396,62104
Enterobacter cloacae complex,354276,12144,22708
Enterobacter hormaechei,158836,10564,10564
Escherichia,561,0,119
Escherichia coli,562,119,119
Erwiniaceae,1903409,0,115
Pantoea,53335,0,114
Pantoea ananatis,553,112,112
environmental samples,48479,0,111
uncultured bacterium,77133,111,111
Terrabacteria group,1783272,0,22256
Firmicutes,1239,0,2580
Bacilli,91061,0,2564
Bacillales,1385,0,2096
Staphylococcaceae,90964,0,2088
Staphylococcus,1279,141,2087
Staphylococcus aureus,1280,360,360
Staphylococcus epidermidis,1282,1586,1586
Lactobacillales,186826,0,418
Streptococcaceae,1300,0,122
Streptococcus,1301,122,122
Enterococcaceae,81852,0,293
Enterococcus,1350,0,293
Enterococcus faecalis,1351,286,286
Actinobacteria,201174,0,19673
Actinobacteria,1760,108,19673
Bifidobacteriales,85004,0,19598
Bifidobacteriaceae,31953,0,19598
Bifidobacterium,1678,2857,19565
Bifidobacterium breve,1685,400,400
Bifidobacterium animalis,28025,507,507
Bifidobacterium longum,216816,15801,15801
